ano,uf,setor,porte_do_cliente,num_empregados
2009,TO,INDUSTRIA,MICRO,4694
2009,MA,INDUSTRIA,MICRO,8737
2009,PI,INDUSTRIA,MICRO,9565
2009,CE,INDUSTRIA,MICRO,39627
2009,RN,INDUSTRIA,MICRO,14120
2009,PB,INDUSTRIA,MICRO,13475
2009,PE,INDUSTRIA,MICRO,37691
2009,AL,INDUSTRIA,MICRO,6221
2009,SE,INDUSTRIA,MICRO,7885
2009,BA,INDUSTRIA,MICRO,41762
2009,MG,INDUSTRIA,MICRO,174336
2009,ES,INDUSTRIA,MICRO,33516
2009,RJ,INDUSTRIA,MICRO,81023
2009,SP,INDUSTRIA,MICRO,417751
2009,PR,INDUSTRIA,MICRO,124489
2009,SC,INDUSTRIA,MICRO,131064
2009,RS,INDUSTRIA,MICRO,140753
2009,MS,INDUSTRIA,MICRO,12169
2009,MT,INDUSTRIA,MICRO,25575
2009,GO,INDUSTRIA,MICRO,46872
2009,DF,INDUSTRIA,MICRO,12082
2008,RO,INDUSTRIA,MICRO,9510
2008,AC,INDUSTRIA,MICRO,2136
2008,AM,INDUSTRIA,MICRO,8019
2008,RR,INDUSTRIA,MICRO,995
2008,PA,INDUSTRIA,MICRO,16314
2008,AP,INDUSTRIA,MICRO,1610
2008,TO,INDUSTRIA,MICRO,4662
2008,MA,INDUSTRIA,MICRO,8542
2008,PI,INDUSTRIA,MICRO,9274
2008,CE,INDUSTRIA,MICRO,37170
2008,RN,INDUSTRIA,MICRO,13247
2008,PB,INDUSTRIA,MICRO,13267
2008,PE,INDUSTRIA,MICRO,35176
2008,AL,INDUSTRIA,MICRO,6028
2008,SE,INDUSTRIA,MICRO,7066
2008,BA,INDUSTRIA,MICRO,39999
2008,MG,INDUSTRIA,MICRO,169806
2008,ES,INDUSTRIA,MICRO,32272
2008,RJ,INDUSTRIA,MICRO,78845
2008,SP,INDUSTRIA,MICRO,412548
2008,PR,INDUSTRIA,MICRO,119683
2008,SC,INDUSTRIA,MICRO,126662
2008,RS,INDUSTRIA,MICRO,136286
2008,MS,INDUSTRIA,MICRO,11444
2008,MT,INDUSTRIA,MICRO,23753
2008,GO,INDUSTRIA,MICRO,44027
2008,DF,INDUSTRIA,MICRO,11352
2007,RO,INDUSTRIA,MICRO,9307
2007,AC,INDUSTRIA,MICRO,1907
2007,AM,INDUSTRIA,MICRO,7610
2007,RR,INDUSTRIA,MICRO,867
2007,PA,INDUSTRIA,MICRO,15678
2007,AP,INDUSTRIA,MICRO,1452
