uf,ano,setor,pib
PE,2003,INDUSTRIA,11451098176.0
PI,2003,INDUSTRIA,1497960982.0
PR,2003,INDUSTRIA,47124825150.0
RJ,2003,INDUSTRIA,83084477962.0
RN,2003,INDUSTRIA,5544196373.0
RO,2003,INDUSTRIA,2025786344.0
RR,2003,INDUSTRIA,375208962.0
RS,2003,INDUSTRIA,45567497020.0
SC,2003,INDUSTRIA,28794359890.0
SE,2003,INDUSTRIA,5864505467.0
SP,2003,INDUSTRIA,239147053509.0
TO,2003,INDUSTRIA,1507258220.0
AC,2004,INDUSTRIA,648747003.0
AL,2004,INDUSTRIA,4481916415.0
AM,2004,INDUSTRIA,17434576991.0
AP,2004,INDUSTRIA,554199673.0
BA,2004,INDUSTRIA,26528210116.0
CE,2004,INDUSTRIA,11526821614.0
DF,2004,INDUSTRIA,7082152692.0
ES,2004,INDUSTRIA,17923103776.0
GO,2004,INDUSTRIA,18689254741.0
MA,2004,INDUSTRIA,5325284233.0
MG,2004,INDUSTRIA,74698031929.0
MS,2004,INDUSTRIA,5978078489.0
MT,2004,INDUSTRIA,8466274152.0
PA,2004,INDUSTRIA,14984661764.0
PB,2004,INDUSTRIA,4407795392.0
PE,2004,INDUSTRIA,13532418400.0
PI,2004,INDUSTRIA,1720184214.0
PR,2004,INDUSTRIA,51691036307.0
RJ,2004,INDUSTRIA,93779870821.0
RN,2004,INDUSTRIA,6376600006.0
RO,2004,INDUSTRIA,2588308797.0
RR,2004,INDUSTRIA,436101068.0
RS,2004,INDUSTRIA,50355628286.0
SC,2004,INDUSTRIA,32823154440.0
SE,2004,INDUSTRIA,6268812174.0
SP,2004,INDUSTRIA,255154297237.0
TO,2004,INDUSTRIA,1905446266.0
AC,2005,INDUSTRIA,598244130.0
AL,2005,INDUSTRIA,4489421549.0
AM,2005,INDUSTRIA,17595737515.0
AP,2005,INDUSTRIA,543350439.0
BA,2005,INDUSTRIA,28788922854.0
CE,2005,INDUSTRIA,11141282405.0
DF,2005,INDUSTRIA,7773817003.0
ES,2005,INDUSTRIA,20318169116.0
GO,2005,INDUSTRIA,18868590198.0
MA,2005,INDUSTRIA,5260986862.0
MG,2005,INDUSTRIA,74847851616.0
MS,2005,INDUSTRIA,5368120052.0
MT,2005,INDUSTRIA,7477625417.0
PA,2005,INDUSTRIA,14531505519.0
PB,2005,INDUSTRIA,4132270484.0
PE,2005,INDUSTRIA,12671027981.0
PI,2005,INDUSTRIA,1957747039.0
PR,2005,INDUSTRIA,48671949220.0
RJ,2005,INDUSTRIA,107168055644.0
RN,2005,INDUSTRIA,7329615514.0
RO,2005,INDUSTRIA,2715653057.0
RR,2005,INDUSTRIA,443992111.0
RS,2005,INDUSTRIA,47018661112.0
SC,2005,INDUSTRIA,32107157858.0
SE,2005,INDUSTRIA,5925357781.0
SP,2005,INDUSTRIA,265153102935.0
TO,2005,INDUSTRIA,1824789309.0
AC,2006,INDUSTRIA,588810602.0
AL,2006,INDUSTRIA,4576436797.0
AM,2006,INDUSTRIA,19981697365.0
AP,2006,INDUSTRIA,530637384.0
BA,2006,INDUSTRIA,27863970820.0
CE,2006,INDUSTRIA,11854859695.0
DF,2006,INDUSTRIA,6351392199.0
ES,2006,INDUSTRIA,22627303844.0
GO,2006,INDUSTRIA,19853703296.0
MA,2006,INDUSTRIA,8539252403.0
MG,2006,INDUSTRIA,75592049739.0
MS,2006,INDUSTRIA,5936794737.0
MT,2006,INDUSTRIA,5971476101.0
PA,2006,INDUSTRIA,15322574826.0
PB,2006,INDUSTRIA,4548441565.0
PE,2006,INDUSTRIA,12201026468.0
PI,2006,INDUSTRIA,3303562062.0
PR,2006,INDUSTRIA,47812348657.0
RJ,2006,INDUSTRIA,119486767663.0
RN,2006,INDUSTRIA,7534996515.0
RO,2006,INDUSTRIA,2978170447.0
RR,2006,INDUSTRIA,648344167.0
RS,2006,INDUSTRIA,44441307822.0
SC,2006,INDUSTRIA,34157842680.0
SE,2006,INDUSTRIA,5971435951.0
SP,2006,INDUSTRIA,253805864237.0
TO,2006,INDUSTRIA,1741451193.0
AC,2007,INDUSTRIA,757470327.0
AL,2007,INDUSTRIA,5104842057.0
AM,2007,INDUSTRIA,19360782570.0
AP,2007,INDUSTRIA,624305588.0
BA,2007,INDUSTRIA,28374185035.0
CE,2007,INDUSTRIA,12052018616.0
DF,2007,INDUSTRIA,6628609035.0
ES,2007,INDUSTRIA,23778369842.0
GO,2007,INDUSTRIA,22786206886.0
MA,2007,INDUSTRIA,6275205382.0
MG,2007,INDUSTRIA,81393538734.0
MS,2007,INDUSTRIA,5405654807.0
MT,2007,INDUSTRIA,6551433013.0
PA,2007,INDUSTRIA,15120116744.0
PB,2007,INDUSTRIA,4515161012.0
PE,2007,INDUSTRIA,12901224410.0
PI,2007,INDUSTRIA,2079548672.0
PR,2007,INDUSTRIA,52386128656.0
RJ,2007,INDUSTRIA,111489640706.0
RN,2007,INDUSTRIA,8460481531.0
RO,2007,INDUSTRIA,2784534315.0
RR,2007,INDUSTRIA,453692138.0
RS,2007,INDUSTRIA,45659708398.0
SC,2007,INDUSTRIA,39209592580.0
SE,2007,INDUSTRIA,6317494281.0
SP,2007,INDUSTRIA,273618466255.0
TO,2007,INDUSTRIA,2107831177.0
AC,2008,INDUSTRIA,681922808.0
AL,2008,INDUSTRIA,4927760356.0
AM,2008,INDUSTRIA,18769937258.0
AP,2008,INDUSTRIA,779285294.0
BA,2008,INDUSTRIA,30071695855.0
CE,2008,INDUSTRIA,13221436508.0
DF,2008,INDUSTRIA,6662689301.0
