setor,uf,ano,emissao_co2
INDUSTRIA,RO,2000,0.0
INDUSTRIA,RO,2001,0.0
INDUSTRIA,RO,2002,0.0
INDUSTRIA,RO,2003,0.0
INDUSTRIA,RO,2004,0.0
INDUSTRIA,RO,2005,0.0
INDUSTRIA,RO,2006,0.0
INDUSTRIA,RO,2007,0.0
INDUSTRIA,RO,2008,0.0
INDUSTRIA,RO,2009,40822.5
INDUSTRIA,RO,2010,207417.3
INDUSTRIA,RO,2011,250629.2
INDUSTRIA,RO,2012,256750.9
INDUSTRIA,RO,2013,199237.6
INDUSTRIA,RO,2014,148151.8
INDUSTRIA,RO,2015,164826.2
INDUSTRIA,RO,2016,92241.6
INDUSTRIA,RO,2017,74340.7
INDUSTRIA,RO,2018,95470.0
INDUSTRIA,RR,2000,0.0
INDUSTRIA,RR,2001,0.0
INDUSTRIA,RR,2002,0.0
INDUSTRIA,RR,2003,0.0
INDUSTRIA,RR,2004,0.0
INDUSTRIA,RR,2005,0.0
INDUSTRIA,RR,2006,0.0
INDUSTRIA,RR,2007,0.0
INDUSTRIA,RR,2008,0.0
INDUSTRIA,RR,2009,0.0
INDUSTRIA,RR,2010,0.0
INDUSTRIA,RR,2011,0.0
INDUSTRIA,RR,2012,0.0
INDUSTRIA,RR,2013,0.0
INDUSTRIA,RR,2014,0.0
INDUSTRIA,RR,2015,0.0
INDUSTRIA,RR,2016,0.0
INDUSTRIA,RR,2017,0.0
INDUSTRIA,RR,2018,0.0
INDUSTRIA,RS,2000,746095.0
INDUSTRIA,RS,2001,721955.4
INDUSTRIA,RS,2002,679476.9
INDUSTRIA,RS,2003,659766.2
INDUSTRIA,RS,2004,613627.2
INDUSTRIA,RS,2005,557993.3
INDUSTRIA,RS,2006,568053.7
INDUSTRIA,RS,2007,626749.9
INDUSTRIA,RS,2008,751998.5
INDUSTRIA,RS,2009,722660.7
INDUSTRIA,RS,2010,775493.8
INDUSTRIA,RS,2011,793483.5
INDUSTRIA,RS,2012,811743.1
INDUSTRIA,RS,2013,827171.1
INDUSTRIA,RS,2014,767257.4
INDUSTRIA,RS,2015,662780.6
INDUSTRIA,RS,2016,546675.3
INDUSTRIA,RS,2017,507959.9
INDUSTRIA,RS,2018,488193.0
INDUSTRIA,SC,2000,141095.2
INDUSTRIA,SC,2001,149858.7
INDUSTRIA,SC,2002,148838.2
INDUSTRIA,SC,2003,98065.3
INDUSTRIA,SC,2004,84468.6
INDUSTRIA,SC,2005,77482.0
INDUSTRIA,SC,2006,81816.0
INDUSTRIA,SC,2007,104195.4
INDUSTRIA,SC,2008,147525.6
INDUSTRIA,SC,2009,133868.3
INDUSTRIA,SC,2010,163845.3
INDUSTRIA,SC,2011,355778.3
INDUSTRIA,SC,2012,712636.8
INDUSTRIA,SC,2013,642171.9
INDUSTRIA,SC,2014,816338.3
INDUSTRIA,SC,2015,676984.4
INDUSTRIA,SC,2016,527268.6
INDUSTRIA,SC,2017,514366.5
INDUSTRIA,SC,2018,513045.1
INDUSTRIA,SE,2000,1136445.2
INDUSTRIA,SE,2001,975960.0
INDUSTRIA,SE,2002,1017763.9
INDUSTRIA,SE,2003,1080862.4
INDUSTRIA,SE,2004,1223071.6
INDUSTRIA,SE,2005,1270927.4
INDUSTRIA,SE,2006,1398312.2
INDUSTRIA,SE,2007,1529419.9
INDUSTRIA,SE,2008,1534900.3
INDUSTRIA,SE,2009,1434641.6
INDUSTRIA,SE,2010,1591069.8
INDUSTRIA,SE,2011,1718571.5
INDUSTRIA,SE,2012,1614308.2
INDUSTRIA,SE,2013,1710455.4
INDUSTRIA,SE,2014,1809952.7
INDUSTRIA,SE,2015,1715753.7
INDUSTRIA,SE,2016,1394432.2
INDUSTRIA,SE,2017,1362039.3
INDUSTRIA,SE,2018,1386292.6
INDUSTRIA,SP,2000,13808277.2
INDUSTRIA,SP,2001,12066345.6
INDUSTRIA,SP,2002,12867384.0
INDUSTRIA,SP,2003,13477383.3
INDUSTRIA,SP,2004,14983842.7
INDUSTRIA,SP,2005,14556781.6
INDUSTRIA,SP,2006,15628762.8
INDUSTRIA,SP,2007,10289340.4
INDUSTRIA,SP,2008,9907479.6
INDUSTRIA,SP,2009,8459910.1
INDUSTRIA,SP,2010,9719339.5
INDUSTRIA,SP,2011,9375036.6
INDUSTRIA,SP,2012,9626252.9
INDUSTRIA,SP,2013,9429179.2
INDUSTRIA,SP,2014,8805437.2
INDUSTRIA,SP,2015,7683865.4
INDUSTRIA,SP,2016,4466224.0
INDUSTRIA,SP,2017,4267070.9
INDUSTRIA,SP,2018,4173596.8
INDUSTRIA,TO,2000,0.0
INDUSTRIA,TO,2001,0.0
INDUSTRIA,TO,2002,0.0
INDUSTRIA,TO,2003,0.0
INDUSTRIA,TO,2004,0.0
INDUSTRIA,TO,2005,0.0
INDUSTRIA,TO,2006,0.0
INDUSTRIA,TO,2007,0.0
INDUSTRIA,TO,2008,0.0
INDUSTRIA,TO,2009,48177.9
INDUSTRIA,TO,2010,169246.7
INDUSTRIA,TO,2011,188332.0
INDUSTRIA,TO,2012,203096.1
INDUSTRIA,TO,2013,183798.7
INDUSTRIA,TO,2014,227186.0
INDUSTRIA,TO,2015,297358.3
INDUSTRIA,TO,2016,253842.0
INDUSTRIA,TO,2017,194082.4
INDUSTRIA,TO,2018,291546.1
AGROPECUARIA,AC,2000,31253317.1
AGROPECUARIA,AC,2001,27309107.4
AGROPECUARIA,AC,2002,50273669.8
AGROPECUARIA,AC,2003,56011967.0
AGROPECUARIA,AC,2004,26712409.2
AGROPECUARIA,AC,2005,34302324.2
AGROPECUARIA,AC,2006,30627275.8
AGROPECUARIA,AC,2007,24395161.9
AGROPECUARIA,AC,2008,23622800.2
AGROPECUARIA,AC,2009,24666390.2
AGROPECUARIA,AC,2010,20083094.2
AGROPECUARIA,AC,2011,19993754.5
AGROPECUARIA,AC,2012,18960681.8
AGROPECUARIA,AC,2013,19256497.3
AGROPECUARIA,AC,2014,24996590.2
AGROPECUARIA,AC,2015,28136370.5
AGROPECUARIA,AC,2016,27843235.4
AGROPECUARIA,AC,2017,30779452.0
AGROPECUARIA,AC,2018,26996343.8
AGROPECUARIA,AL,2000,4252264.2
AGROPECUARIA,AL,2001,4142522.9
AGROPECUARIA,AL,2002,4113582.2
AGROPECUARIA,AL,2003,4193676.4
AGROPECUARIA,AL,2004,4006028.7
AGROPECUARIA,AL,2005,3977922.3
AGROPECUARIA,AL,2006,4000974.9
AGROPECUARIA,AL,2007,4241646.8
AGROPECUARIA,AL,2008,4050679.8
AGROPECUARIA,AL,2009,3821426.1
AGROPECUARIA,AL,2010,4479177.4
AGROPECUARIA,AL,2011,4506454.8
AGROPECUARIA,AL,2012,4104030.4
AGROPECUARIA,AL,2013,4335026.9
AGROPECUARIA,AL,2014,4096884.3
AGROPECUARIA,AL,2015,4002112.8
AGROPECUARIA,AL,2016,3815047.9
AGROPECUARIA,AL,2017,4638325.0
AGROPECUARIA,AL,2018,3682649.5
AGROPECUARIA,AM,2000,28963919.2
AGROPECUARIA,AM,2001,27146418.8
AGROPECUARIA,AM,2002,40856350.4
AGROPECUARIA,AM,2003,76809098.8
AGROPECUARIA,AM,2004,57419734.9
AGROPECUARIA,AM,2005,67471633.7
AGROPECUARIA,AM,2006,77202889.1
AGROPECUARIA,AM,2007,49490669.3
AGROPECUARIA,AM,2008,41810259.8
AGROPECUARIA,AM,2009,41900315.4
AGROPECUARIA,AM,2010,51151876.9
AGROPECUARIA,AM,2011,43420337.9
AGROPECUARIA,AM,2012,37755759.1
AGROPECUARIA,AM,2013,43297449.5
AGROPECUARIA,AM,2014,48963072.1
AGROPECUARIA,AM,2015,65744483.9
AGROPECUARIA,AM,2016,113679365.6
AGROPECUARIA,AM,2017,77495618.0
AGROPECUARIA,AM,2018,76372937.2
AGROPECUARIA,AP,2000,5628628.3
AGROPECUARIA,AP,2001,3841666.8
AGROPECUARIA,AP,2002,4616572.3
AGROPECUARIA,AP,2003,4334193.4
AGROPECUARIA,AP,2004,3893976.4
AGROPECUARIA,AP,2005,3456475.3
AGROPECUARIA,AP,2006,3628740.5
AGROPECUARIA,AP,2007,2591129.9
AGROPECUARIA,AP,2008,2734388.4
AGROPECUARIA,AP,2009,3280041.9
AGROPECUARIA,AP,2010,2904344.1
AGROPECUARIA,AP,2011,2448724.0
AGROPECUARIA,AP,2012,4769768.9
AGROPECUARIA,AP,2013,5342063.2
AGROPECUARIA,AP,2014,5129041.5
AGROPECUARIA,AP,2015,3576200.5
AGROPECUARIA,AP,2016,6927569.9
AGROPECUARIA,AP,2017,6423091.3
AGROPECUARIA,AP,2018,7174892.0
AGROPECUARIA,BA,2000,61783102.8
AGROPECUARIA,BA,2001,58826931.3
AGROPECUARIA,BA,2002,56655808.5
AGROPECUARIA,BA,2003,59066829.1
AGROPECUARIA,BA,2004,65089079.9
AGROPECUARIA,BA,2005,54872313.5
AGROPECUARIA,BA,2006,53367385.8
AGROPECUARIA,BA,2007,51406896.8
AGROPECUARIA,BA,2008,57938785.6
AGROPECUARIA,BA,2009,55908406.4
AGROPECUARIA,BA,2010,48763888.9
AGROPECUARIA,BA,2011,54553234.5
AGROPECUARIA,BA,2012,56516396.1
AGROPECUARIA,BA,2013,56566936.3
AGROPECUARIA,BA,2014,51522420.8
AGROPECUARIA,BA,2015,44145016.1
AGROPECUARIA,BA,2016,44926018.8
AGROPECUARIA,BA,2017,44479065.3
AGROPECUARIA,BA,2018,40888848.5
AGROPECUARIA,CE,2000,16148806.6
AGROPECUARIA,CE,2001,14840204.8
AGROPECUARIA,CE,2002,30778625.9
AGROPECUARIA,CE,2003,14936592.8
AGROPECUARIA,CE,2004,15502340.0
AGROPECUARIA,CE,2005,15173465.4
AGROPECUARIA,CE,2006,12773833.0
AGROPECUARIA,CE,2007,11755927.6
AGROPECUARIA,CE,2008,12163221.9
AGROPECUARIA,CE,2009,10632855.9
AGROPECUARIA,CE,2010,10698621.0
AGROPECUARIA,CE,2011,13762473.5
AGROPECUARIA,CE,2012,15319020.6
AGROPECUARIA,CE,2013,12157632.2
AGROPECUARIA,CE,2014,11882708.2
AGROPECUARIA,CE,2015,10372708.2
AGROPECUARIA,CE,2016,8271869.7
AGROPECUARIA,CE,2017,9055321.4
AGROPECUARIA,CE,2018,7826624.5
AGROPECUARIA,DF,2000,916700.0
AGROPECUARIA,DF,2001,732239.6
AGROPECUARIA,DF,2002,685717.5
AGROPECUARIA,DF,2003,650915.8
AGROPECUARIA,DF,2004,691819.5
AGROPECUARIA,DF,2005,634474.4
AGROPECUARIA,DF,2006,557463.3
AGROPECUARIA,DF,2007,584500.1
AGROPECUARIA,DF,2008,492749.4
AGROPECUARIA,DF,2009,515782.9
AGROPECUARIA,DF,2010,583148.4
AGROPECUARIA,DF,2011,628838.0
AGROPECUARIA,DF,2012,538938.4
AGROPECUARIA,DF,2013,656415.6
AGROPECUARIA,DF,2014,735214.3
AGROPECUARIA,DF,2015,582393.9
AGROPECUARIA,DF,2016,604219.6
