SEACOR OFFSHORE DO BRASIL LTDA,"51 processos no TRT1, TJRJ, TRT12, TRF2 e TST, 2 processos no TRF2 e TJSC, 1 processo no TST, 1 processo no TRT1, 1 processo no TRT1"
TOYOTA DO BRASIL LTDA,"5.523 processos no TRT15, TJSP, TJRJ, TJBA e TJMG, 167 processos no TJSP, TJRS, TJRJ, TJPR e STJ, 105 processos no TRT15, TRF3, TJSP, TRF03 e TRT2, 26 processos no TJAM, TJPA, TJSP, TJSC e TJRJ, 25 processos no TRF3, TRT2, TRF03, TJSP e TRT02, 18 processos no TRF3 e JFSP"
MUNICIPIO DE CAMPO GRANDE,"92.521 processos no TJMS, STJ, TRF3, STF e TRF03, 16.203 processos no TJMS, TRF3, TRT24, STJ e TJAL, 1.560 processos no TJMS, 526 processos no TJMS, 518 processos no TJMS e STJ, 494 processos no TJMS"
OXITENO S A INDUSTRIA E COMERCIO,"612 processos no TRT2, TRT15, TJSP, TRT02 e TRF3, 486 processos no TRT5, TRT05, TJBA, TJSP e TRF1, 5 processos no TRF4, STJ, TJBA e TJRS, 4 processos no TRT15, 3 processos no TJSP, 2 processos no TRT2"
MACHADINHO ENERGETICA S/A,"99 processos no TJRS, TJSC  , TJSC, TRF04 e JFSP, 48 processos no TJRS e TJSC, 43 processos no TJSC, TJRS e STJ, 13 processos no TJRS, 3 processos no TJRS e TJSC  , 2 processos no TJRS"
BRASBUNKER PARTICIPACOES S/A,"915 processos no TJRJ, TRT1, TRT01, TRT20 e TRT17, 15 processos no TJRJ, TJES, TRF1, TRT1 e TJSP, 8 processos no TJRJ, 4 processos no TRT2, 4 processos no TJRJ, 3 processos no TJRJ"
CNH INDUSTRIAL BRASIL LTDA.,"2.523 processos no TRT3, TRT03, TRT9, TRT15 e TJSP, 42 processos no TJPR, 15 processos no TJMG, 5 processos no TJSP, 4 processos no TJSP e TJMG, 2 processos no TJPR"
COMPANHIA LUZ E FORCA SANTA CRUZ,"260 processos no TJSP, TJSPCR, TJPR, STJ e TRF3, 130 processos no TJSP, TJSPCR, TJRS, TJRJ e STJ, 106 processos no TJSP, TJSPCR, STJ e TJPR, 53 processos no TJSP, STJ, TRT15, TST e TRT02, 39 processos no TJSP, TJSPCR e STJ, 39 processos no TJPR e TJSP"
EXITUS ADMINISTRACAO E PARTICIPACOES S/A.,"11 processos no STJ, TRF1, TJRN, TRF3 e TRT06"
ARCELORMITTAL GONVARRI BRASIL PRODUTOS SIDERURGICOS S/A,"259 processos no TRT15, TRT9, TJSP, TJPR e TRT09, 7 processos no TJSP, TJPR e TJRJ, 2 processos no TRT9, 2 processos no TJSP, 1 processo no TRT15, 1 processo no TJSP"
