cnpj,uf,produto,fonte_de_recurso_desembolsos,setor_bndes,natureza_do_cliente,tipo_de_garantia,valor_desembolsado_ajustado,processos,prazo_amortizacao_meses,cluster
19.725.315/0001-24,PI,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,47293088.0,15.0,1.0,2
19.725.354/0001-21,PI,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,38261464.0,9.0,1.0,2
19.725.614/0001-69,PI,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,45265571.0,11.0,1.0,2
19.725.631/0001-04,PI,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,47293572.0,11.0,1.0,2
19.726.048/0001-00,IE,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,721429821.0,667.0,24.0,0
19.726.111/0001-08,RJ,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,1414420135.0,700.0,90.25,0
19.781.992/0001-60,PI,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,47293572.0,1.0,1.0,2
19.791.268/0001-17,MG,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,39105679.0,3149.0,69.0,2
19.868.433/0001-91,RS,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,34104025.0,8.0,192.0,1
19.869.355/0001-40,RS,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,43205153.0,1.0,192.0,1
19.869.512/0001-17,RS,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,19760956.0,9.0,190.0,1
19.876.424/0001-42,MG,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,ADMINISTRAÇÃO PÚBLICA DIRETA - GOVERNO MUNICIPAL,"OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",28776207.0,2323.0,102.0,2
19.888.199/0001-64,RS,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,33872700.0,8.0,192.0,1
19.888.311/0001-67,RS,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,57471041.0,7.0,192.0,1
19.891.491/0001-36,RS,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,19939257.0,7.0,192.0,1
19.896.691/0001-81,RS,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,33584443.0,8.0,192.0,1
19.905.679/0001-96,BA,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,33560675.0,2.0,192.0,1
19.905.727/0001-46,BA,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,46198643.0,2.0,192.0,1
19.917.214/0001-55,RS,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,19596139.0,7.0,192.0,1
19.941.770/0001-67,RS,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,34040646.0,1.0,192.0,1
