uf,setor_bndes,porte_do_cliente,ano,valor_contratado_reais,valor_desembolsado_reais,valor_contratado_ajustado,valor_desembolsado_ajustado,media_juros,media_prazo_carencia_meses,media_prazo_amortizacao_meses,num_empregados
GO,INDUSTRIA,GRANDE,2014,315511279.3,297654227.2,256354315.0,241908939.0,4.24,16.0,61.1,106183.0
GO,INDUSTRIA,GRANDE,2015,279800000.0,278726791.5,212284184.0,211494753.0,4.37,10.3,57.6,101990.0
GO,INDUSTRIA,GRANDE,2016,36222815.0,33617794.1,24940310.0,23148665.0,3.7,18.0,54.0,94910.0
GO,INDUSTRIA,GRANDE,2017,20000000.0,20020915.5,13911060.0,13925608.0,4.6,18.0,42.0,98006.0
GO,INDUSTRIA,GRANDE,2018,108387000.0,92453024.9,73116135.0,62367330.0,3.36,27.8,101.2,95267.0
GO,INDUSTRIA,MEDIA,2011,11042000.0,10242000.0,10779912.0,9998900.0,2.25,30.0,60.0,47768.0
GO,INFRAESTRUTURA,GRANDE,2002,618816033.6,614099905.6,1115796746.0,1107389055.0,2.23,14.2,67.9,
GO,INFRAESTRUTURA,GRANDE,2003,293769717.1,296906112.9,450316723.0,455133894.0,3.78,18.4,108.9,
GO,INFRAESTRUTURA,GRANDE,2004,70801400.0,71098178.7,100009237.0,100430176.0,4.0,21.0,125.5,
GO,INFRAESTRUTURA,GRANDE,2005,78254700.0,79362621.8,106238264.0,107742374.0,3.5,19.0,144.0,
GO,INFRAESTRUTURA,GRANDE,2006,485784560.0,483534460.2,644735079.0,641845781.0,3.68,23.8,119.9,
GO,INFRAESTRUTURA,GRANDE,2007,232612000.0,227963502.0,286776549.0,280988896.0,2.53,23.0,126.2,
GO,INFRAESTRUTURA,GRANDE,2008,1244477000.0,1180064725.3,1376958610.0,1305771384.0,2.13,22.6,176.9,
GO,INFRAESTRUTURA,GRANDE,2009,707390400.0,705595746.8,783464550.0,781466214.0,2.33,11.4,155.0,
GO,INFRAESTRUTURA,GRANDE,2010,153498206.0,141875000.0,165451879.0,153104329.0,2.58,4.0,121.2,
GO,INFRAESTRUTURA,GRANDE,2011,63660500.0,52402606.9,60748014.0,50035469.0,2.22,23.7,127.4,
GO,INFRAESTRUTURA,GRANDE,2012,147500000.0,147500000.0,134933114.0,134933114.0,2.36,6.7,184.0,
GO,INFRAESTRUTURA,GRANDE,2013,16176000.0,15940000.0,13529856.0,13332462.0,2.75,2.0,139.0,
GO,INFRAESTRUTURA,GRANDE,2014,71165500.0,67864166.6,57895628.0,55189757.0,3.83,20.0,126.9,
GO,INFRAESTRUTURA,GRANDE,2015,49478000.0,49579366.8,36836663.0,36912132.0,3.4,27.0,240.0,
GO,INFRAESTRUTURA,GRANDE,2016,133133000.0,133211768.1,91040849.0,91090227.0,2.18,16.0,198.0,
GO,INFRAESTRUTURA,GRANDE,2018,11444800.0,9906255.5,7676743.0,6644745.0,1.3,30.0,16.0,
GO,INFRAESTRUTURA,MEDIA,2002,33300364.2,34151066.0,63002660.0,64606901.0,4.0,17.0,116.0,
GO,INFRAESTRUTURA,MEDIA,2004,174798.8,195591.5,257102.0,287685.0,1.0,3.0,24.0,
GO,INFRAESTRUTURA,MEDIA,2006,7000000.0,7028437.8,9201593.0,9238975.0,2.75,30.0,78.0,
GO,INFRAESTRUTURA,MEDIA,2007,78993000.0,79085017.2,96571663.0,96684157.0,2.25,24.0,156.0,
GO,INFRAESTRUTURA,MEDIA,2008,201630000.0,201934671.1,234986777.0,235341850.0,2.44,33.0,192.0,
IE,AGROPECUARIA,GRANDE,2003,38507919.1,38654367.8,59541304.0,59767744.0,4.01,12.0,54.0,
IE,AGROPECUARIA,GRANDE,2004,12668000.0,12668000.0,18142711.0,18142711.0,3.0,18.0,102.0,
IE,AGROPECUARIA,GRANDE,2005,6018000.0,5368341.9,8088491.0,7215318.0,5.5,18.0,66.0,
IE,AGROPECUARIA,GRANDE,2007,123745016.6,122339242.3,154525652.0,152725107.0,2.82,74.4,33.6,
IE,AGROPECUARIA,GRANDE,2008,343330000.0,356680301.4,376855452.0,391499830.0,2.24,22.0,50.0,
